 news.128.t:0 "La caída de Berlín"
 nuke_dropped.2.d:0 "\\'\\'Las calles eran como una escena del infierno. \\'\\'\n- Kuniyoshi Aikawa\n\nHoy, fue detonada una bomba nuclear sobre la ciudad de Hiroshima a la altura de 580 metros. Más de las dos terceras partes de la ciudad fueron inmediatamente destruidas. A pesar de la ciudad estaba construida para resistir terremotos, sólo algunas estructuras resistentes sobrevivieron a la explosión.\n\nMientras que la potencia de la bomba atómica ha resonado en la mente del público, el precio humano de las armas nucleares ha sido subestimado. Ninguna de las partes quiere contemplar el horror del acontecimiento, pero su legado será el de vidas perdidas en un abrir y cerrar de un ojo y  sus duraderas consecuencias."
 nuke_dropped.2.a:0 "¿Cuántos más caerán antes de esta guerra termine?"
 nuke_dropped.2.b:0 "Debemos actuar rápidamente para ayudar a las víctimas."
 nuke_dropped.3.t:0 "Bombardeo atómico de Nagasaki"
 nuke_dropped.3.d:0 "Una bomba nuclear, destinada originalmente a Kokura, fue detonada hoy en Nagasaki. Condiciones meteorológicas obligaron a los aviones de desviar a su misión, una combinación de humo, nubes y dificultades técnicas fueron los factores decisivos en un acontecimiento que puede cambiar bien la historia.\n\n Los efectos de la bomba fueron un poco contenidos por la situación de la ciudad en un valle, pero los daños siguen siendo graves. Algunas instalaciones militares fueron golpeadas, pero las pérdidas civiles catastróficas los eclipsan con mucho. Llevará décadas antes de que sepamos con seguridad los efectos a largo plazo de esta arma."
 nuke_dropped.3.a:0 "¿Llevará esto a que [From.Owner.GetAdjective] se rinda?"
 nuke_dropped.3.b:0 "Habíamos esperado que Nagasaki se salvase."
 nuke_dropped.4.t:0 "Bombardeo atómico de Berlín"
 nuke_dropped.4.d:0 "Hoy, [GetDateText], la capital alemana de Berlín fue golpeada por una explosión nuclear. La ciudad ha sufrido varios ataques, en esta guerra y la última, pero todos palidecen en comparación con esto. Desde la Guerra de los Treinta Años Berlín no había visto devastación comparable y teniendo en cuenta su crecimiento, esto era considerado casi imposible.\n\nEl búnker del Führer parece haber sobrevivido a la explosión por lo menos parcialmente debido a la bomba detonase lejos del epicentro previsto, y se rumorea que [From.Owner.GetLeader] todavía estaría vivo, aunque indignado. Sin embargo, cómo se podrá evacuar a los líderes [From.Owner.GetAdjective]  y si se les puede proteger de la lluvia radiactiva es otra cosa."
 nuke_dropped.4.a:0 "Hoy, me siento aliviado no debe ser un berlinés."
 nuke_dropped.4.b:0 "¡Nuestros enemigos han golpeado en el corazón de la nación!"
 nuke_dropped.5.t:0 "Bombardeo atómico de Londres"
 nuke_dropped.5.d:0 "Una explosión nuclear hoy ha devastado la ciudad de Londres. A pesar de las defensas antiaéreas de la ciudad, [From.Owner.GetName] no estaba preparado para este ataque. En [GetDateText], el Big Ben sonó por última vez, al derretirse por la explosión. Los primeros informes sugieren que Palacio de Buckingham fue sido completamente arrasado y  se desconoce el paradero de la Familia Real en la actualidad.\n\nSin embargo, se ha confirmado que [From.Owner.GetLeader] han sobrevivido, y está preparando un emotivo discurso en la radio hoy por la tarde. Con la moral en el nivel más bajo, el pueblo británico necesita con urgencia esto... o una rendición  muy elocuente."
 nuke_dropped.5.a:0 "Es difícil mantenerse el gesto impávido ante una explosión nuclear."
 nuke_dropped.5.b:0 "¡Dios salve al Rey!"
 nuke_dropped.6.t:0 "Bombardeo atómico de Kioto"
 nuke_dropped.6.d:0 "La ciudad de Kioto, un destacado centro industrial de [From.Owner.GetAdjective], fue golpeada hoy por una bomba nuclear. Se especula que la ciudad fue elegida como objetivo porque se consideraba un centro intelectual.\n\nLa belleza y la importancia histórica de Kioto llevó a muchos a pensar que se libraría de la bomba, pero parece que el terror de hacer caer la destrucción en tal lugar se vio más bien como un beneficio, aumentando el impacto psicológico del ataque. La ubicación de la ciudad en un valle ha limitado algo la explosión, pero el antiguo Palacio Imperial y muchos edificios industriales han sido completamente destruidos."
 nuke_dropped.6.a:0 "Legado y belleza no significan nada en una guerra como esta."
 nuke_dropped.6.b:0 "Si destruyen lo viejo, construimos lo nuevo."
 nuke_dropped.7.t:0 "Bombardeo atómico de Tokio"
 nuke_dropped.7.d:0 "Hoy, se dirigió un ataque nuclear al corazón del imperio japonés. La capital de Tokio, aunque se esperaba que fuese el objetivo de bombardeos incendiarios, nunca se esperó que fuera un objetivo prioritario de esta nueva arma. Sin embargo, en última instancia, quizás debido a la importancia de la nueva capital y su Palacio Imperial, que ahora ha sido destruido, un fuego aún más devoradora ha caído sobre la ciudad.\n\nAunque se informa que [From.Owner.GetLeader] ha sobrevivido, el acontecimiento ha levantado preguntas sobre cuán lejos piensan llegar los enemigos de Japón. Si la guerra no termina con esto, ¿qué objetivos quedan? ¿Qué queda por amenazar?"
 nuke_dropped.7.a:0 "¿Significa esto el final del imperio japonés?"
 nuke_dropped.7.b:0 "Mientras [From.Owner.GetLeader] viva, también lo hará el Imperio."
 nuke_dropped.8.t:0 "Bombardeo atómico de Washington D.C."
 nuke_dropped.8.d:0 "Una bomba nuclear fue detonada hoy en la capital de los Estados Unidos. En un ataque claramente dirigido hacia el centro político y legado histórico de los Estados Unidos, la Casa Blanca, el Capitolio y un número de monumentos fueron destruidos de la faz de la tierra. Incluso el incendio de Washington de hace más de un siglo palidece en comparación con la destrucción de la ciudad de esta arma devastadora.\n\nAunque el presidente [From.Owner.GetLeader] ha sido puesto a salvo, la nación ha sido sacudida hasta su núcleo. Sin duda, los Estados Unidos esperaban a ser el primer y único país que usase tal tipo de armas. Esas esperanzas se han destrozado de la peor manera posible."
 nuke_dropped.8.a:0 "Una nación indivisible contra un átomo divisible."
 nuke_dropped.8.b:0 "El águila se levantará de las cenizas como un ave fénix."
 nuke_dropped.9.t:0 "Bombardeo atómico de Roma"
 nuke_dropped.9.d:0 "Una explosión nuclear golpeó la ciudad de Roma hoy, impactando a personas por todo el mundo. Debido a sus tesoros históricos y artísticos, muchos nunca habrían pensado en que la antigua ciudad sería el blanco de tal destrucción indiscriminada. Con la Ciudad del Vaticano también parcialmente destruido y el paradero del Papa desconocido, el evento ha horrorizado no sólo a los italianos, sino a los católicos de todo el mundo.\n\nEl rápido crecimiento de Roma de la última década ha sido casi totalmente deshecho por el ataque. Por un tiempo, pareció que la ciudad podría ayudar a la recuperación del país después de la guerra. Esas esperanzas se han convertido ahora en polvo, junto con muchas personas. "
 nuke_dropped.9.a:0 "Bomba Iacta Est!"
 nuke_dropped.9.b:0 "Roma no será reconstruida en un día..."
 nuke_dropped.10.t:0 "Bombardeo atómico de París"
 nuke_dropped.10.d:0 "Hoy fue detonado un artefacto nuclear sobre la ciudad de París, causando destrucción y muertes incontables. Francia quedó en estado de shock cuando su capital sufrió lo que puede ser el más devastador ataque jamás, a pesar de siglos de guerras y revoluciones. Los parisinos podrían esperar tal vez una conquista, pero no una desolación total y absoluta.\n\nNingún desfile de victoria en los Campos Elíseos a través de los restos del Arco de Triunfo parece probable en el estado actual de la ciudad. Tal vez las próximas décadas verán el nacimiento de un nuevo París, pero el París en la mente del público, la ciudad construida en la Belle Epoque, ha desaparecido para siempre."
 nuke_dropped.10.a:0 "La ciudad de la luz ha sido consumida."
 nuke_dropped.10.b:0 "Solo ayer parecía que siempre nos quedaría París."
 nuke_dropped.11.t:0 "Bombardeo atómico de Moscú"
 nuke_dropped.11.d:0 "Una ciudad que muchos han intentado y fracasado de conquistar, Moscú, hoy se convirtió en el blanco de un ataque nuclear. La explosión se dirigió al corazón del liderazgo [From.Owner.GetAdjective], el Kremlin, que fue casi totalmente destruido por la explosión.\n\n[From.Owner.GetLeader], habiéndose vuelto más consciente y temeroso de todas las amenazas posibles e imposibles, fue evacuado en tiempo y sobrevivió. Sin embargo, incluso la inmensidad de [From.Owner.GetName] puede no ser suficiente para escapar de un enemigo tan implacable. De hecho, si esto continúa, la nación pronto sólo consistirá en dos clases de páramos: los que estaban allí previamente  y los creados por sus enemigos."
 nuke_dropped.11.a:0 "¿Un invierno nuclear no hará de Moscú un objetivo aún más difícil?"
 nuke_dropped.11.b:0 "Pueden quemar todas las ciudades que tengamos, pero nunca las tomarán."
 nuke_dropped.12.t:0 "Bombardeo atómico de Copenhague"
 nuke_dropped.12.d:0 "Hoy, la ciudad de Copenhague fue golpeada por una explosión nuclear. Haber crecido tras escapar a la destrucción de la Gran Guerra gracias a la neutralidad de Dinamarca, la capital nunca había experimentado un ataque cerca de este devastador desde las guerras Napoleónicas. Los alrededores de Öresund ha visto también una lluvia radiactiva significativa y los sobrevivientes han comenzado a escapar a Fyn y al continente temiendo nuevos ataques.\n\nSe desconoce el paradero del Rey Christian X y la moral de la nación ha sido severamente dañada por el ataque. Queda por verse si este es el principio del fin de una de las naciones más antiguas de Europa."
 nuke_dropped.12.a:0 "Algo se irradia en el estado de Dinamarca."
 nuke_dropped.12.b:0 "La ciudad ya ardió antes, pero no pereció."
 nuke_dropped.12.c:0 "¡Con el plutonio pondremos a los daneses de rodillas!"
 nuke_dropped.13.t:0 "Bombardeo atómico de Estocolmo"
 nuke_dropped.13.d:0 "La hermosa ciudad de Estocolmo, orgullosa Venecia del norte, fue hoy golpeada por una bomba nuclear. A pesar de sus esfuerzos para permanecer neutral en el pasado, los suecos ya han pagado el precio final de conflicto internacional. El epicentro de la explosión fue en el medio del centro sur de Estocolmo, un área preparada para futuros desarrollos y grandes proyectos de construcción, ahora destruido irreversiblemente.\n\nGran parte de la ciudad es irreconocible, pero las viejas estructuras de Slussen parecen haber sobrevivido la explosión mejor de lo esperado. Se ha decidido que se dejen intactas para siempre como un monumento a la resistencia de la ciudad."
 nuke_dropped.13.a:0 "Con esto, neutralidad sueca sólo será un recuerdo."
 nuke_dropped.13.b:0 "¡El tigre sueco nunca perderá sus rayas!"
 soviet.30.t:0 "Exigir Besarabia"
 soviet.30.d:0 "Rumania no puede esperar soportar la fuerza del Ejército Rojo, si les enviamos una petición por la tierra que legítimamente nos pertenece en Besarabia puede que nos la entreguen sin pelear."
 soviet.30.a:0 "¡Envía el ultimátum!"
 soviet.30.b:0 "¡No, pagaremos el precio de hierro!"
 soviet.31.t:0 "Demanda Carelia"
 soviet.31.d:0 "Finlandia no puede esperar soportar la fuerza del Ejército Rojo,  Rojo, si les enviamos una petición por la tierra que legítimamente nos pertenece en Carelia puede que nos la entreguen sin pelear."
 soviet.31.a:0 "¡Envía el ultimátum!"
 soviet.31.b:0 "¡No, pagaremos el precio de hierro!"
